;;;;;;
Entretien, exploitation et maintenance des installations techniques des bâtiments;;;;;;
CPS E2MT²;;;;;;
Annexe 4 : Bordereau des Prix Unitaires, Scénario de Commande et Minimum Garanti;;;;;;
LOT 4.1 - Mission D - BPU Prestations connexes - Rubrique 1;;;;;;
;;;;;;
"Attention, les prestations ci-dessous ne sont utilisables que dans les niveaux de maitenance non inclus au contrat ou pour des travaux neufs (si la main d'oeuvre et la franchise doivent être déduites, alors il faut recourir aux onglets 2 et 3).
Les prestations listées ci-dessous peuvent être commandées par SNCF sans qu'obligatoirement les missions correspondantes en prestations récurrentes soient actives au contrat.";;;;;;
Code PU;Prestation;;Détail Prestation;;Prix en €HT;Unité
CVCD-23;Remplacement d'un vase d'expansion d'une capacité entre 51 et 100 L;;;;395,40;
CVCD-24;Remplacement d'un vase d'expansion d'une capacité entre 101 et 200 ;;;;498,74;
CVCD-25;Fourniture et pose d'un compteur gaz à membrane Diamètre 20;;Y compris dépose si remplacement et raccords.;;514,22;Forfait pièces et main d'œuvre
CVCD-26;Fourniture et pose d'un compteur gaz à membrane Diamètre 32;;;;692,45;
CVCD-27;Fourniture et pose d'un compteur gaz à membrane Diamètre 50;;;;1467,02;
CVCD-28;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) à ultrasons, diamètre 25 ;;Marque SAPPEL ou qualité technique équivalente, y compris dépose si remplacement et raccords.;;678,41;Forfait pièces et main d'œuvre
CVCD-29;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) à ultrasons, diamètre 32 ;;;;985,23;
CVCD-30;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) à ultrasons, diamètre 40;;;;1087,50;
CVCD-31;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) à ultrasons, diamètre 50;;;;1228,41;
CVCD-32;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) à ultrasons, diamètre 65;;;;1307,95;
CVCD-33;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) à ultrasons, diamètre 80;;;;1477,27;
CVCD-34;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) mécanique, diamètre 65;;Marque SAPPEL ou qualité technique équivalente, y compris dépose si remplacement, raccords et filtres;;2286,36;Forfait pièces et main d'œuvre
CVCD-35;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) mécanique, diamètre 80;;;;2600,00;
CVCD-36;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) mécanique, diamètre 100;;;;2728,41;
CVCD-37;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) mécanique, diamètre 125;;;;2988,64;
CVCD-38;Fourniture et pose d'un compteur d'énergie thermique (eau chaude/eau glacée) mécanique, diamètre 150;;;;3751,14;
CVCD-39;Remplacement d'un disconnecteur contrôlable de diamètre 15/21;;"Dépose du disconnecteur défaillant et évacuation.
Fourniture et pose d'un disconnecteur contrôlable de marque SOCLA, WATT ou qualité technique équivalente.
Compris adaptation de l'évacuation PVC jusqu'au regard et reprise peinture anti-rouille de la tuyauterie.";;407,95;Forfait pièces et main d'œuvre
CVCD-40;Remplacement d'un disconnecteur contrôlable de diamètre 20/27;;;;407,95;
CVCD-41;Remplacement d'un disconnecteur contrôlable de diamètre 26/34;;;;517,05;
CVCD-42;Remplacement d'un disconnecteur contrôlable de diamètre 33/42;;;;611,36;
CVCD-43;Remplacement d'un disconnecteur contrôlable de diamètre 40/49;;;;815,91;
CVCD-44;Remplacement d'un disconnecteur contrôlable de diamètre 50/60;;;;1087,50;
CVCD-45;Réalisation d'une analyse légionelle;;Montant unitaire pour une analyse sur un point de prélèvement (déplacement + prélèvement + analyse + rapport);;150,76;Forfait par prélèvement
CVCD-46;Pose de calorifuges (réseaux chaud & froid) – Coque aluminium. Conforme au décret 2023-444. Diamètre intérieur ≤ 76mm. Epaisseur isolant ≤ 40mm. ;;Tous accessoires inclus (collier, coude …). Hors dépose éventuelle d'un calorifuge existant.;;96,59;"ml
(mètre linéaire)"
CVCD-47;Pose de calorifuges (réseaux chaud & froid) – Coque aluminium. Conforme au décret 2023-444. Diamètre intérieur > 76mm. Epaisseur isolant > 40mm. ;;;;118,18;
CVCD-48;Pose de calorifuges (réseaux chaud & froid) – Coque souple. Conforme au décret 2023-444. Diamètre intérieur ≤ 100mm. Epaisseur isolant ≤ 19mm. ;;;;101,14;
CVCD-49;Pose de calorifuges (réseaux chaud & froid) – Coque souple. Conforme au décret 2023-444. Diamètre intérieur > 100mm. Epaisseur isolant > 19mm. ;;;;115,91;
Protection incendie;;;;;;
PI-01;Fourniture et pose bouchon avec chainette sur colonne sèche;;;;47,73;Forfait pièces et main d'œuvre
PI-02;Remplacement d'un poste RIA DN 19/6;;"Dépose de l'existant et évacuation.
Fourniture et pose d'un nouveau poste RIA y compris vanne barrage, tuyau semi-rigide, dévidoir, lance et toutes sujétions.
";;679,55;
PI-03;Remplacement d'un poste RIA DN 25/8;;;;747,73;
PI-04;Remplacement d'un poste RIA DN 33/12;;;;815,91;
PI-05;Remplacement d'un poste RIA DN 20;;;;747,73;
PI-06;Remplacement d'un poste RIA DN 40;;;;815,91;
PI-07;Remplacement d'un poteau incendie (hydrant) DN100;;"Dépose du poteau existant et évacuation.
Fourniture et pose d'un nouveau poteau incendie  y compris raccordement au réseau d'eau existant et toutes sujétions.";;3398,86;
Systèmes de sécurité incendie;;;;;;
